ath-miRf10207-npr	NONATHT000439
ath-miRf10207-npr	NONATHT000453
ath-miRf10207-npr	NONATHT001047
ath-miRf10207-npr	NONATHT001072
ath-miRf10207-npr	NONATHT001157
ath-miRf10207-npr	NONATHT001170
ath-miRf10207-npr	NONATHT001595
ath-miRf10207-npr	NONATHT002181
ath-miRf10207-npr	NONATHT002532
ath-miRf10207-npr	NONATHT002629
ath-miRf10207-npr	NONATHT002647
ath-miRf10207-npr	NONATHT002689
ath-miRf10207-npr	NONATHT002717
ath-miRf10207-npr	NONATHT002743
ath-miRf10207-npr	NONATHT002744
ath-miRf10207-npr	NONATHT002773
ath-miRf10207-npr	NONATHT003418
ath-miRf10207-npr	NONATHT003484
ath-miRf10209-npr	NONATHT001226
ath-miRf10209-npr	NONATHT002641
ath-miRf10209-npr	NONATHT002671
ath-miRf10209-npr	NONATHT002717
ath-miRf10211-npr	NONATHT001237
ath-miRf10211-npr	NONATHT002632
ath-miRf10211-npr	NONATHT002773
ath-miRf10211-npr	NONATHT003335
ath-miRf10211-npr	NONATHT003387
ath-miRf10217-npr	NONATHT000397
ath-miRf10217-npr	NONATHT001047
ath-miRf10217-npr	NONATHT001063
ath-miRf10217-npr	NONATHT001300
ath-miRf10217-npr	NONATHT002116
ath-miRf10217-npr	NONATHT002149
ath-miRf10217-npr	NONATHT002647
ath-miRf10217-npr	NONATHT002671
ath-miRf10217-npr	NONATHT002748
ath-miRf10217-npr	NONATHT003333
ath-miRf10217-npr	NONATHT003429
ath-miRf10217-npr	NONATHT003431
ath-miRf10224-npr	NONATHT002095
ath-miRf10230-npr	NONATHT000976
ath-miRf10230-npr	NONATHT002609
ath-miRf10230-npr	NONATHT003411
ath-miRf10232-npr	NONATHT000433
ath-miRf10232-npr	NONATHT001047
ath-miRf10232-npr	NONATHT001157
ath-miRf10235-npr	NONATHT001418
ath-miRf10235-npr	NONATHT002006
ath-miRf10243-npr	NONATHT002929
ath-miRf10244-npr	NONATHT000946
ath-miRf10249-npr	NONATHT000339
ath-miRf10250-npr	NONATHT000808
ath-miRf10250-npr	NONATHT003422
ath-miRf10253-npr	NONATHT003299
ath-miRf10262-npr	NONATHT001309
ath-miRf10263-npr	NONATHT000436
ath-miRf10263-npr	NONATHT002096
ath-miRf10263-npr	NONATHT002609
ath-miRf10267-npr	NONATHT000406
ath-miRf10267-npr	NONATHT000453
ath-miRf10267-npr	NONATHT002149
ath-miRf10267-npr	NONATHT002689
ath-miRf10267-npr	NONATHT003318
ath-miRf10267-npr	NONATHT003332
ath-miRf10267-npr	NONATHT003393
ath-miRf10267-npr	NONATHT003472
ath-miRf10268-npr	NONATHT000419
ath-miRf10268-npr	NONATHT000423
ath-miRf10268-npr	NONATHT000425
ath-miRf10268-npr	NONATHT002181
ath-miRf10268-npr	NONATHT002532
ath-miRf10268-npr	NONATHT002629
ath-miRf10268-npr	NONATHT002689
ath-miRf10268-npr	NONATHT003335
ath-miRf10300-npr	NONATHT002149
ath-miRf10300-npr	NONATHT002609
ath-miRf10325-npr	NONATHT000447
ath-miRf10326-npr	NONATHT001063
ath-miRf10326-npr	NONATHT002647
ath-miRf10326-npr	NONATHT002748
ath-miRf10326-npr	NONATHT003332
ath-miRf10326-npr	NONATHT003333
ath-miRf10326-npr	NONATHT003395
ath-miRf10328-npr	NONATHT002247
ath-miRf10331-npr	NONATHT001006
ath-miRf10331-npr	NONATHT003326
ath-miRf10333-npr	NONATHT002016
ath-miRf10333-npr	NONATHT002136
ath-miRf10333-npr	NONATHT002717
ath-miRf10345-npr	NONATHT000413
ath-miRf10345-npr	NONATHT001210
ath-miRf10345-npr	NONATHT001300
ath-miRf10345-npr	NONATHT003316
ath-miRf10345-npr	NONATHT003387
ath-miRf10354-npr	NONATHT001246
ath-miRf10354-npr	NONATHT002149
ath-miRf10354-npr	NONATHT002630
ath-miRf10354-npr	NONATHT002648
ath-miRf10354-npr	NONATHT003326
ath-miRf10359-npr	NONATHT001126
ath-miRf10367-npr	NONATHT001954
ath-miRf10374-npr	NONATHT003494
ath-miRf10383-npr	NONATHT002619
ath-miRf10383-npr	NONATHT003407
ath-miRf10390-npr	NONATHT000411
ath-miRf10390-npr	NONATHT000433
ath-miRf10390-npr	NONATHT001072
ath-miRf10390-npr	NONATHT001179
ath-miRf10390-npr	NONATHT001210
ath-miRf10390-npr	NONATHT001226
ath-miRf10390-npr	NONATHT001237
ath-miRf10390-npr	NONATHT002041
ath-miRf10390-npr	NONATHT002146
ath-miRf10390-npr	NONATHT002217
ath-miRf10390-npr	NONATHT002242
ath-miRf10390-npr	NONATHT002534
ath-miRf10390-npr	NONATHT002631
ath-miRf10390-npr	NONATHT002632
ath-miRf10390-npr	NONATHT002641
ath-miRf10390-npr	NONATHT002671
ath-miRf10390-npr	NONATHT002720
